customer_id,age,gender,region,employment_type,annual_income_inr,credit_score,credit_utilization_ratio,missed_payments_12m,avg_late_payment_days,monthly_transaction_count,monthly_spend_inr,cash_advance_count_6m,complaints_last_6m,failed_login_attempts_3m,account_tenure_months,last_transaction_date,debt_balance_inr,risk_status
500001,43,Female,,Salaried,82242,,0.12,1,2.2,39,33889,0,2,4,70,2025-09-26,87273,0
500002,29,Female,Central,Salaried,32769,647,0.337,1,1.5,11,10853,1,1,1,34,2025-11-24,20600,0
500003,36,Male,East,Salaried,39731,727,0.175,0,3.9,45,25519,2,1,1,74,2025-09-26,47565,0
500004,28,Male,North,Unemployed,38990,553,0.472,7,23.3,103,17806,1,2,6,72,2025-10-03,43803,1
500005,36,Female,East,Self-Employed,41043,732,0.418,1,9.8,95,27114,0,1,1,11,2025-10-26,12008,0
500006,53,Female,East,Salaried,38733,691,0.625,0,2.1,68,17693,0,0,0,59,2025-10-10,21350,0
500007,26,Male,Central,Self-Employed,56641,611,0.115,0,0.7,76,38589,1,1,3,81,2025-09-04,15676,0
500008,34,Female,Central,Salaried,40835,772,0.294,0,0.6,72,29414,1,0,1,52,2025-12-01,16426,0
500009,22,Male,South,Salaried,19967,668,0.299,0,11.1,52,9380,0,1,2,15,2025-11-14,16267,0
500010,29,Male,East,Retired,45896,705,0.303,0,10,24,33487,1,1,3,143,2025-10-25,39934,0
500011,44,Female,West,Self-Employed,15000,556,0.556,1,9.1,53,10918,0,0,3,34,2025-10-28,21722,0
500012,34,Male,East,Retired,43270,708,0.723,0,6.3,76,26414,0,0,0,56,2025-09-04,32713,0
500013,46,Female,East,Salaried,40023,748,,1,2.7,18,18221,4,0,1,42,2025-09-28,46586,0
500014,31,Female,East,Salaried,46037,645,0.311,1,1.5,66,21449,0,0,2,66,2025-09-28,28730,0
500015,29,Female,East,Salaried,42249,642,0.516,3,39.3,91,34892,5,0,6,41,2025-10-13,104248,1
500016,45,Female,Central,Salaried,82659,681,0.267,1,5.2,44,55626,0,0,1,60,2025-10-09,64477,0
500017,35,Male,Central,Self-Employed,44547,714,0.601,0,0.8,58,20085,0,1,2,125,2025-11-07,46782,0
500018,32,Female,East,Salaried,43711,716,0.356,2,7.4,95,26916,0,0,2,58,2025-11-26,24098,0
500019,28,Female,South,Unemployed,57592,706,0.656,0,2.2,26,39379,0,1,2,42,2025-11-13,81239,0
500020,32,Female,North,Self-Employed,52605,,0.701,4,2.9,104,,1,2,0,89,2025-10-26,65654,0
500021,31,Female,East,,54015,,0.811,3,17.8,62,,0,2,4,90,2025-09-08,129382,1
500022,48,Male,North,Self-Employed,64067,694,0.311,0,1.5,51,37171,1,1,4,116,2025-11-09,19989,0
500023,47,Male,West,Salaried,15000,646,0.579,2,0.5,15,8628,0,0,2,62,2025-10-18,16055,0
